,article,category
2097,Indira_Gandhi,['subject.People.Political_People']
2098,Indium,['subject.Science.Chemistry.Chemical_elements']
2099,Indo-Greek_Kingdom,['subject.History.Ancient_History_Classical_History_and_Mythology']
2100,Indonesia,"['subject.Geography.Geography_of_Asia.Asian_Countries', 'subject.Countries']"
2101,Indonesian_language,['subject.Language_and_literature.Languages']
2102,Indricotherium,['subject.Science.Biology.Dinosaurs']
2103,Inductance,['subject.Science.Physics.Electricity_and_Electronics']
2104,Indus_River,['subject.Geography.Geography_of_Asia']
2105,Indus_Valley_Civilization,['subject.History.Ancient_History_Classical_History_and_Mythology']
2106,Industrial_Revolution,['subject.History.General_history']
2107,Industry,['subject.Business_Studies.Business']
2108,Information,"['subject.Everyday_life.Everyday_life', 'subject.Mathematics']"
2109,Infrastructure,['subject.Business_Studies.Business']
2110,Inner_Hebrides,['subject.Geography.Geography_of_Great_Britain']
2111,Insect,['subject.Science.Biology.Insects_Reptiles_and_Fish']
2112,Insulin,['subject.Science.Biology.Health_and_medicine']
2113,Integrated_circuit,"['subject.IT.Computing_hardware_and_infrastructure', 'subject.Science.Physics.Electricity_and_Electronics']"
2114,Intel_Corporation,['subject.Business_Studies.Companies']
2115,Intelligence,['subject.Science.Biology.Health_and_medicine']
2116,InterBase,['subject.IT.Computing_hardware_and_infrastructure']
2117,International_Court_of_Justice,['subject.Citizenship.Law']
2118,International_English,['subject.Language_and_literature.Languages']
2119,International_Red_Cross_and_Red_Crescent_Movement,"['subject.Citizenship.Conflict_and_Peace', 'subject.Citizenship.Politics_and_government']"
2120,International_Space_Station,['subject.Science.Physics.Space_transport']
2121,International_human_rights_instruments,['subject.Citizenship.Animal_and_Human_Rights']
2122,International_law,['subject.Citizenship.Law']
2123,Internet,"['subject.Citizenship.Media', 'subject.IT.Websites_and_the_Internet']"
2124,Internet_Explorer,['subject.IT.Software']
2125,Interpol,['subject.Citizenship.Law']
2126,Introduction_to_special_relativity,['subject.Science.Physics.General_Physics']
2127,Invasion,['subject.History.Military_History_and_War']
2128,Invasion_of_Grenada,['subject.History.Recent_History']
2129,Invasive_species,['subject.Citizenship.Environment']
2130,Invertebrate,['subject.Science.Biology.Organisms']
2131,Investment_banking,['subject.Business_Studies.Business']
2132,Iodine,['subject.Science.Chemistry.Chemical_elements']
2133,Iowa_class_battleship,['subject.History.Military_History_and_War']
2134,Ipswich,['subject.Geography.Geography_of_Great_Britain']
2135,Iran,"['subject.Countries', 'subject.Geography.Geography_of_the_Middle_East.Middle_Eastern_Countries']"
2136,Iranian_peoples,['subject.Geography.Peoples']
2137,Iraq,"['subject.Countries', 'subject.Geography.Geography_of_the_Middle_East.Middle_Eastern_Countries']"
2138,Iraq_War,['subject.History.Military_History_and_War']
2139,Iraq_and_weapons_of_mass_destruction,['subject.History.Recent_History']
2140,Ireland,"['subject.Countries', 'subject.Geography.European_Geography.European_Countries']"
2141,Ireland_King_of_Arms,['subject.History.British_History.British_History_1500_and_before_including_Roman_Britain']
2142,Iridium,['subject.Science.Chemistry.Chemical_elements']
2143,Irish_Sea,['subject.Geography.Geography_of_Great_Britain']
2144,Irish_people,['subject.Geography.Peoples']
2145,Irish_poetry,['subject.Language_and_literature.Poetry_and_Opera']
2146,Irish_theatre,['subject.Language_and_literature.Theatre']
2147,Iron,"['subject.Science.Chemistry.Chemical_elements', 'subject.Geography.Geology_and_geophysics']"
2148,Iron(III)_chloride,['subject.Science.Chemistry.Chemical_compounds']
2149,Iron_Age,['subject.History.Ancient_History_Classical_History_and_Mythology']
2150,Iron_Maiden,['subject.Music.Performers_and_composers']
2151,Iron_Mike,['subject.History.North_American_History']
2152,Irrigation,"['subject.Citizenship.Environment', 'subject.Geography.General_Geography']"
2153,Isaac,['subject.People.Religious_figures_and_leaders']
2154,Isaac_Asimov,['subject.People.Writers_and_critics']
2155,Isaac_Brock,['subject.People.Military_People']
2156,Isaac_Newton,['subject.People.Astronomers_and_physicists']
2157,Isambard_Kingdom_Brunel,['subject.People.Engineers_and_inventors']
2158,Isan,['subject.Geography.Geography_of_Asia']
2159,Ishango_bone,['subject.History.Archaeology']
2160,Isis,['subject.Religion.Divinities']
2161,Islam,['subject.Religion.Religious_movements_traditions_and_organizations']
2162,Islamic_republic,['subject.Citizenship.Politics_and_government']
2163,Island_Fox,['subject.Science.Biology.Mammals']
2164,Isle_of_Man,['subject.Geography.Geography_of_Great_Britain']
2165,Isle_of_Wight,['subject.Geography.Geography_of_Great_Britain']
2166,Isles_of_Scilly,['subject.Geography.Geography_of_Great_Britain']
2167,Isospin,['subject.Science.Physics.General_Physics']
2168,Israel,"['subject.Countries', 'subject.Geography.Geography_of_the_Middle_East.Middle_Eastern_Countries']"
2169,Issyk_Kul,['subject.Geography.General_Geography']
2170,Istanbul,['subject.Geography.European_Geography']
2171,Italian_Renaissance,['subject.Art.Art']
2172,Italian_War_of_1521,['subject.History.Pre_1900_Military']
2173,Italo_disco,['subject.Music.Musical_genres_styles_eras_and_events']
2174,Italy,"['subject.Countries', 'subject.Geography.European_Geography.European_Countries']"
2175,Ivan_IV_of_Russia,['subject.People.Historical_figures']
2176,Ivory,['subject.Science.Chemistry.Materials_science']
2177,Ivory-billed_Woodpecker,['subject.Science.Biology.Birds']
2178,J._J._Thomson,"['subject.History.British_History.British_History_Post_1900', 'subject.People.Engineers_and_inventors']"
2179,J._K._Rowling,['subject.People.Writers_and_critics']
2180,J._M._W._Turner,['subject.People.Artists']
2181,J._R._R._Tolkien,['subject.People.Writers_and_critics']
2182,J._S._Fry_&_Sons,['subject.Business_Studies.Companies']
2183,Jack_Kerouac,['subject.People.Writers_and_critics']
2184,Jackal,['subject.Science.Biology.Mammals']
2185,Jackanory,['subject.Everyday_life.Television']
2186,Jackdaw,['subject.Science.Biology.Birds']
2187,Jackie_Robinson,['subject.People.Sports_and_games_people']
2188,Jacob_Riis,['subject.People.Historical_figures']
2189,Jacobite_rising,['subject.History.British_History.British_History_15001750']
2190,Jacques-Louis_David,['subject.People.Artists']
2191,Jacques_Cartier,['subject.People.Geographers_and_explorers']
2192,Jakarta,['subject.Geography.Geography_of_Asia']
2193,Jake_Gyllenhaal,['subject.People.Actors_models_and_celebrities']
2194,Jamaica,"['subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries', 'subject.Countries']"
2195,James_Bond,['subject.Everyday_life.Films']
2196,James_Buchanan,['subject.People.USA_Presidents']
2197,James_Callaghan,['subject.People.Political_People']
2198,James_Clerk_Maxwell,['subject.People.Astronomers_and_physicists']
2199,James_Cook,['subject.People.Geographers_and_explorers']
2200,James_D._Watson,['subject.People.Human_Scientists']
2201,James_Garfield,"['subject.People.Political_People', 'subject.People.USA_Presidents']"
2202,James_II_of_England,"['subject.History.British_History.British_History_15001750', 'subject.People.Monarchs_of_Great_Britain']"
2203,James_I_of_England,"['subject.History.British_History.British_History_15001750', 'subject.People.Monarchs_of_Great_Britain']"
2204,James_Joyce,['subject.People.Writers_and_critics']
2205,James_K._Polk,['subject.People.USA_Presidents']
2206,James_Lovelock,['subject.People.Writers_and_critics']
2207,James_Monroe,['subject.People.USA_Presidents']
2208,James_Stewart_(actor),['subject.People.Actors_models_and_celebrities']
2209,"James_T._Aubrey,_Jr.",['subject.People.Producers_directors_and_media_figures']
2210,James_Watt,"['subject.People.Astronomers_and_physicists', 'subject.People.Engineers_and_inventors']"
2211,Jan_Mayen,['subject.Geography.European_Geography']
2212,Jane_Austen,['subject.People.Writers_and_critics']
2213,Jane_Eyre,['subject.Language_and_literature.Novels']
2214,Jane_Fonda,['subject.People.Actors_models_and_celebrities']
2215,Japan,"['subject.Geography.Geography_of_Asia.Asian_Countries', 'subject.Countries']"
2216,Japanese_grammar,['subject.Language_and_literature.Linguistics']
2217,Japanese_war_crimes,['subject.History.World_War_II']
2218,Japanese_yen,['subject.Business_Studies.Currency']
2219,Jarvis_Island,['subject.Geography.Geography_of_Oceania_Australasia']
2220,Jaws_(film),['subject.Everyday_life.Films']
2221,Jazz,['subject.Music.Musical_genres_styles_eras_and_events']
2222,Jean-Jacques_Rousseau,['subject.People.Philosophers']
2223,Jean_Charles_de_Menezes,['subject.History.Recent_History']
2224,Jehovah,['subject.Religion.Divinities']
2225,Jerry_Fodor,['subject.People.Philosophers']
2226,Jersey,['subject.Geography.Geography_of_Great_Britain']
2227,Jersey_Zoological_Park,['subject.Geography.Geography_of_Great_Britain']
2228,Jerusalem,['subject.Geography.Geography_of_the_Middle_East']
2229,Jesse_Owens,['subject.People.Sports_and_games_people']
2230,Jesus,"['subject.Religion.Divinities', 'subject.People.Religious_figures_and_leaders']"
2231,Jet_Set_Willy,['subject.Everyday_life.Computer_and_Video_games']
2232,Jet_engine,['subject.Design_and_Technology.Engineering']
2233,Jew,['subject.Geography.Peoples']
2234,Jewellery,['subject.Art.Art']
2235,Jiaogulan,['subject.Science.Biology.Plants']
2236,Jimmy_Carter,['subject.People.USA_Presidents']
2237,Jimmy_Wales,['subject.People.Computing_People']
2238,Joan_of_Arc,['subject.People.Military_People']
2239,Jocelin,"['subject.History.British_History.British_History_1500_and_before_including_Roman_Britain', 'subject.People.Religious_figures_and_leaders']"
2240,Joel_Brand,['subject.People.Historical_figures']
2241,Johann_Pachelbel,['subject.People.Performers_and_composers']
2242,Johann_Sebastian_Bach,['subject.People.Performers_and_composers']
2243,Johann_Wolfgang_Goethe,['subject.People.Writers_and_critics']
2244,Johannes_Gutenberg,['subject.People.Engineers_and_inventors']
2245,Johannes_Kepler,['subject.People.Astronomers_and_physicists']
2246,Johannes_Ockeghem,['subject.People.Performers_and_composers']
2247,Johannesburg,['subject.Geography.African_Geography']
2248,John_A.T._Robinson,['subject.People.Religious_figures_and_leaders']
2249,John_Adams,['subject.People.USA_Presidents']
2250,John_Bull_(locomotive),['subject.Design_and_Technology.Railway_transport']
2251,John_Cabot,['subject.People.Geographers_and_explorers']
2252,John_Calvin,['subject.People.Religious_figures_and_leaders']
2253,John_Constable,['subject.People.Artists']
2254,John_Dee,['subject.People.Mathematicians']
2255,John_F._Kennedy,['subject.People.USA_Presidents']
2256,John_F._Kennedy_assassination,['subject.History.Recent_History']
2257,John_Flamsteed,['subject.People.Engineers_and_inventors']
2258,John_Henninger_Reagan,['subject.People.Political_People']
2259,John_Howard,['subject.People.Political_People']
2260,John_Locke,['subject.People.Philosophers']
2261,John_Logie_Baird,['subject.People.Engineers_and_inventors']
2262,John_Marshall,['subject.People.Political_People']
2263,John_Maynard_Keynes,['subject.Business_Studies.Economics']
2264,John_McEnroe,['subject.People.Sports_and_games_people']
2265,John_Millington_Synge,"['subject.Language_and_literature.Theatre', 'subject.People.Writers_and_critics']"
2266,John_Milton,['subject.People.Writers_and_critics']
2267,John_Pershing,['subject.People.Military_People']
2268,"John_Seigenthaler,_Sr.",['subject.People.Writers_and_critics']
2269,John_Sentamu,['subject.People.Religious_figures_and_leaders']
2270,John_Tyler,['subject.People.USA_Presidents']
2271,John_Vanbrugh,['subject.People.Artists']
2272,John_W._Campbell,['subject.People.Writers_and_critics']
2273,John_W._Johnston,['subject.People.Political_People']
2274,John_of_England,"['subject.History.British_History.British_History_1500_and_before_including_Roman_Britain', 'subject.People.Monarchs_of_Great_Britain']"
2275,John_von_Neumann,['subject.People.Mathematicians']
2276,Johnny_Appleseed,['subject.People.Historical_figures']
2277,Johnston_Atoll,['subject.Geography.Geography_of_Oceania_Australasia']
2278,Jomsvikings,['subject.History.British_History.British_History_1500_and_before_including_Roman_Britain']
2279,Jonah_Lomu,['subject.People.Sports_and_games_people']
2280,Jonathan_Wild,['subject.People.Historical_figures']
2281,Jordan,"['subject.Countries', 'subject.Geography.Geography_of_the_Middle_East.Middle_Eastern_Countries']"
2282,Jordan_River,['subject.Geography.Geography_of_the_Middle_East']
2283,Jordanhill_railway_station,['subject.Design_and_Technology.Railway_transport']
2284,Jorge_Luis_Borges,['subject.People.Writers_and_critics']
2285,Joseph_Haydn,['subject.People.Performers_and_composers']
2286,Joseph_Stalin,['subject.People.Political_People']
2287,Joseph_and_the_Amazing_Technicolor_Dreamcoat,['subject.Language_and_literature.Poetry_and_Opera']
2288,Josephus,['subject.History.Historians_chroniclers_and_history_books']
2289,Juan_Sebastián_Elcano,['subject.People.Geographers_and_explorers']
2290,Judaism,['subject.Religion.Religious_movements_traditions_and_organizations']
2291,Juice,['subject.Everyday_life.Drink']
2292,Julius_Caesar,['subject.People.Historical_figures']
2293,Julius_and_Ethel_Rosenberg,['subject.History.Recent_History']
2294,July_2006_Java_earthquake,['subject.Geography.Natural_Disasters']
2295,Jump_rope,['subject.Everyday_life.Games']
2296,Juniper_berry,['subject.Everyday_life.Food_and_agriculture']
2297,Jupiter,['subject.Science.Physics.The_Planets']
2298,Jupiter_(mythology),['subject.Religion.Myths']
2299,Jurassic,['subject.Geography.Geology_and_geophysics']
2300,Juvenile_delinquency,['subject.Citizenship.Politics_and_government']
2301,Jyllands-Posten_Muhammad_cartoons_controversy,['subject.History.Recent_History']
2302,Jórvík,['subject.History.British_History.British_History_1500_and_before_including_Roman_Britain']
2303,Józef_Piłsudski,['subject.People.Historical_figures']
2304,Kaffir_lime,"['subject.Everyday_life.Food_and_agriculture', 'subject.Science.Biology.Plants']"
2305,Kakapo,['subject.Science.Biology.Birds']
2306,Kakariki,['subject.Science.Biology.Birds']
2307,Kangaroo,['subject.Science.Biology.Mammals']
2308,"Kansas_City,_Missouri",['subject.Geography.North_American_Geography']
2309,Karachi,['subject.Geography.Geography_of_Asia']
2310,Kargil_War,['subject.History.Military_History_and_War']
2311,Karikkoselkä,['subject.Geography.European_Geography']
2312,Karl_Benz,['subject.People.Engineers_and_inventors']
2313,Karl_Marx,['subject.People.Political_People']
2314,Karl_Popper,['subject.People.Philosophers']
2315,Kashmir_region,['subject.Geography.Geography_of_Asia']
2316,Katana,['subject.History.Military_History_and_War']
2317,Katyn_massacre,['subject.History.World_War_II']
2318,Kazakhstan,"['subject.Geography.Geography_of_Asia.Asian_Countries', 'subject.Countries']"
2319,Keira_Knightley,['subject.People.Actors_models_and_celebrities']
2320,Kenya,"['subject.Geography.African_Geography.African_Countries', 'subject.Countries']"
2321,Kerala,['subject.Geography.Geography_of_Asia']
2322,Kestrel,['subject.Science.Biology.Birds']
2323,Keurusselkä,['subject.Geography.European_Geography']
2324,Kevin_Spacey,['subject.People.Actors_models_and_celebrities']
2325,Khan_Wali_Khan,['subject.People.Writers_and_critics']
2326,Khartoum,['subject.Geography.African_Geography']
2327,Khazars,['subject.Geography.Peoples']
2328,Khudai_Khidmatgar,['subject.History.British_History.British_History_Post_1900']
2329,Kidnapped_(novel),['subject.Language_and_literature.Novels']
2330,Kiev,['subject.Geography.European_Geography']
2331,Kigali,['subject.Geography.African_Geography']
2332,Kigo,['subject.Language_and_literature.Linguistics']
2333,King_Arthur,"['subject.History.Ancient_History_Classical_History_and_Mythology', 'subject.History.British_History.British_History_1500_and_before_including_Roman_Britain']"
2334,King_Kong_(1933_film),['subject.Everyday_life.Films']
2335,King_Kong_(2005_film),['subject.Everyday_life.Films']
2336,Kingman_Reef,['subject.Geography.Geography_of_Oceania_Australasia']
2337,Kipchaks_in_Georgia,['subject.Geography.Peoples']
2338,Kiribati,['subject.Geography.Geography_of_Oceania_Australasia']
2339,Kite_(bird),['subject.Science.Biology.Birds']
2340,Kitsch,['subject.Art.Art']
2341,Klinefelter's_syndrome,['subject.Science.Biology.Health_and_medicine']
2342,Knights_of_Columbus,"['subject.Citizenship.Community_organisations', 'subject.Religion.Religious_movements_traditions_and_organizations']"
2343,Kochi_(India),['subject.Geography.Geography_of_Asia']
2344,Kofi_Annan,['subject.People.Political_People']
2345,Kohlberg's_stages_of_moral_development,['subject.Religion.Philosophy']
2346,Kolkata,['subject.Geography.Geography_of_Asia']
2347,Konrad_Lorenz,['subject.People.Human_Scientists']
2348,Kookaburra,['subject.Science.Biology.Birds']
2349,Korea,"['subject.Geography.Geography_of_Asia.Asian_Countries', 'subject.Countries']"
2350,Koryaksky,['subject.Geography.Geography_of_Asia']
2351,Kosovo,"['subject.Countries', 'subject.Geography.European_Geography.European_Countries']"
2352,Krag-Jørgensen,"['subject.Design_and_Technology.Engineering', 'subject.History.Military_History_and_War']"
2353,Krakatoa,['subject.Geography.Geography_of_Asia']
2354,Krazy_Kat,['subject.Everyday_life.Cartoons']
2355,Krill,['subject.Science.Biology.Insects_Reptiles_and_Fish']
2356,Krypton,['subject.Science.Chemistry.Chemical_elements']
2357,Ku_Klux_Klan,"['subject.History.North_American_History', 'subject.Citizenship.Politics_and_government']"
2358,Kuala_Lumpur,['subject.Geography.Geography_of_Asia']
2359,Kubla_Khan,['subject.Language_and_literature.Poetry_and_Opera']
2360,Kuiper_belt,['subject.Science.Physics.Space_Astronomy']
2361,Kurt_Cobain,['subject.People.Performers_and_composers']
2362,Kuru_(disease),['subject.Science.Biology.Health_and_medicine']
2363,Kuwait,"['subject.Countries', 'subject.Geography.Geography_of_the_Middle_East.Middle_Eastern_Countries']"
2364,Kuwait_City,['subject.Geography.Geography_of_the_Middle_East']
2365,Kylie_Minogue,['subject.People.Performers_and_composers']
2366,Kyoto_Protocol,['subject.Citizenship.Environment']
2367,Kyrgyzstan,"['subject.Geography.Geography_of_Asia.Asian_Countries', 'subject.Countries']"
2368,Kīlauea,['subject.Geography.Central_and_South_American_Geography']
2369,L._S._Lowry,['subject.People.Artists']
2370,LANSA_Cuzco_Crash,['subject.History.Recent_History']
2371,La_Grande_Armée,['subject.History.General_history']
2372,La_Paz,['subject.Geography.Central_and_South_American_Geography']
2373,Labor_Day_Hurricane_of_1935,['subject.Geography.Natural_Disasters']
2374,Ladysmith_Black_Mambazo,['subject.Music.Performers_and_composers']
2375,Lagos,['subject.Geography.African_Geography']
2376,Laika,"['subject.History.Recent_History', 'subject.Science.Physics.Space_transport']"
2377,Lake_Albert,['subject.Geography.African_Geography']
2378,Lake_Baikal,['subject.Geography.General_Geography']
2379,Lake_Burley_Griffin,['subject.Geography.Geography_of_Oceania_Australasia']
2380,Lake_Chad,['subject.Geography.General_Geography']
2381,Lake_District,['subject.Geography.Geography_of_Great_Britain']
2382,Lake_Edward,['subject.Geography.African_Geography']
2383,Lake_Kariba,['subject.Geography.African_Geography']
2384,Lake_Kivu,['subject.Geography.African_Geography']
2385,Lake_Malawi,['subject.Geography.African_Geography']
2386,Lake_Mead,['subject.Geography.North_American_Geography']
2387,Lake_Powell,['subject.Geography.General_Geography']
2388,Lake_Superior,['subject.Geography.General_Geography']
2389,Lake_Tahoe,['subject.Geography.General_Geography']
2390,Lake_Tanganyika,"['subject.Geography.African_Geography', 'subject.Geography.General_Geography']"
2391,Lake_Titicaca,['subject.Geography.Central_and_South_American_Geography']
2392,Lake_Toba,['subject.Geography.Geography_of_Asia']
2393,Lake_Turkana,['subject.Geography.African_Geography']
2394,Lake_Victoria,['subject.Geography.African_Geography']
2395,Lake_Vostok,['subject.Geography.Geography_of_Asia']
2396,Lance_Armstrong,['subject.People.Sports_and_games_people']
2397,Lancia_Flaminia,['subject.Design_and_Technology.Road_transport']
2398,Land_(economics),['subject.Business_Studies.Economics']
2399,Landform,['subject.Geography.Geology_and_geophysics']
2400,Landscape,['subject.Geography.Geology_and_geophysics']
2401,Language,['subject.Language_and_literature.Languages']
2402,Lanthanum,['subject.Science.Chemistry.Chemical_elements']
2403,Laos,"['subject.Geography.Geography_of_Asia.Asian_Countries', 'subject.Countries']"
2404,Laozi,['subject.People.Philosophers']
2405,Las_Palmas_de_Gran_Canaria,['subject.Geography.European_Geography']
2406,"Las_Vegas,_Nevada",['subject.Geography.North_American_Geography']
2407,Last_Supper,['subject.Religion.Religious_texts']
2408,Latin,['subject.Language_and_literature.Languages']
2409,Latin_America,['subject.Geography.Central_and_South_American_Geography']
2410,Latin_alphabet,['subject.Language_and_literature.Linguistics']
2411,Latvia,"['subject.Countries', 'subject.Geography.European_Geography.European_Countries']"
2412,Laurence_Olivier,['subject.People.Actors_models_and_celebrities']
2413,Laurent_Fignon,['subject.People.Sports_and_games_people']
2414,Lavender,['subject.Science.Biology.Plants']
2415,Law,['subject.Citizenship.Law']
2416,Lawn,['subject.Everyday_life.Recreation']
2417,Lawrencium,['subject.Science.Chemistry.Chemical_elements']
2418,Laws_in_Wales_Acts_1535–1542,"['subject.History.British_History.British_History_15001750', 'subject.Citizenship.Law']"
2419,Layla,['subject.Music.Musical_Recordings_and_compositions']
2420,Lead,['subject.Science.Chemistry.Chemical_elements']
2421,Lead(II)_nitrate,['subject.Science.Chemistry.Chemical_compounds']
2422,League_of_Nations,['subject.Citizenship.Politics_and_government']
2423,Leaning_Tower_of_Pisa,['subject.Design_and_Technology.Architecture']
2424,Lebanon,"['subject.Countries', 'subject.Geography.Geography_of_the_Middle_East.Middle_Eastern_Countries']"
2425,Leeds,['subject.Geography.Geography_of_Great_Britain']
2426,Lego,['subject.Everyday_life.Games']
2427,Leicester,['subject.Geography.Geography_of_Great_Britain']
2428,Leif_Ericson,['subject.People.Geographers_and_explorers']
2429,Leisure,['subject.Everyday_life.Recreation']
2430,Lemon,"['subject.Everyday_life.Food_and_agriculture', 'subject.Science.Biology.Plants']"
2431,Lemon_balm,['subject.Science.Biology.Plants']
2432,Lemon_myrtle,['subject.Science.Biology.Plants']
2433,Lens_(anatomy),['subject.Science.Biology.Health_and_medicine']
2434,Leo_(constellation),['subject.Science.Physics.Space_Astronomy']
2435,Leo_Tolstoy,['subject.People.Writers_and_critics']
2436,Leon_Trotsky,['subject.People.Political_People']
2437,Leonardo_da_Vinci,"['subject.People.Artists', 'subject.People.Engineers_and_inventors']"
2438,Leonhard_Euler,['subject.People.Mathematicians']
2439,Lerwick,['subject.Geography.Geography_of_Great_Britain']
2440,Lesotho,"['subject.Geography.African_Geography.African_Countries', 'subject.Countries']"
2441,Lesothosaurus,['subject.Science.Biology.Dinosaurs']
2442,Lettuce,"['subject.Everyday_life.Food_and_agriculture', 'subject.Science.Biology.Plants']"
2443,"Levee_failures_in_Greater_New_Orleans,_2005","['subject.Geography.Natural_Disasters', 'subject.History.Recent_History']"
2444,Lhasa,['subject.Geography.Geography_of_Asia']
2445,Liberal_Democrats,['subject.Citizenship.Politics_and_government']
2446,Liberal_democracy,['subject.Citizenship.Politics_and_government']
2447,Liberalism,['subject.Citizenship.Politics_and_government']
2448,Liberia,"['subject.Geography.African_Geography.African_Countries', 'subject.Countries']"
2449,Libertarianism,['subject.Citizenship.Politics_and_government']
2450,Library,"['subject.Citizenship.Education', 'subject.Everyday_life.Recreation']"
2451,Library_of_Alexandria,['subject.History.Ancient_History_Classical_History_and_Mythology']
2452,Library_of_Congress,['subject.Citizenship.Politics_and_government']
2453,Libreville,['subject.Geography.African_Geography']
2454,Libya,"['subject.Geography.African_Geography.African_Countries', 'subject.Countries']"
2455,Liechtenstein,"['subject.Countries', 'subject.Geography.European_Geography.European_Countries']"
2456,Life,['subject.Science.Biology.General_Biology']
2457,Light,['subject.Science.Physics.General_Physics']
2458,Lighthouse_of_Alexandria,['subject.History.Ancient_History_Classical_History_and_Mythology']
2459,Lighting_designer,['subject.Language_and_literature.Theatre']
2460,Lightning_rod,['subject.Design_and_Technology.Engineering']
2461,Lille,['subject.Geography.European_Geography']
2462,Lilongwe,['subject.Geography.African_Geography']
2463,Lima,['subject.Geography.Central_and_South_American_Geography']
2464,Limerick,['subject.Geography.European_Geography']
2465,Lincoln_(automobile),['subject.Design_and_Technology.Road_transport']
2466,Lincoln_Town_Car,['subject.Design_and_Technology.Road_transport']
2467,Lindisfarne_Gospels,['subject.Religion.Religious_texts']
2468,Linear_algebra,['subject.Mathematics']
2469,Linguistics,['subject.Language_and_literature.Linguistics']
2470,Link_(The_Legend_of_Zelda),['subject.Everyday_life.Computer_and_Video_games']
2471,Linnet,['subject.Science.Biology.Birds']
2472,Linus_Pauling,['subject.People.Chemists']
2473,Linus_Torvalds,['subject.People.Computing_People']
2474,Linux,['subject.IT.Software']
2475,Lion,['subject.Science.Biology.Mammals']
2476,Lipid,['subject.Science.Biology.Health_and_medicine']
2477,Liquid_crystal,['subject.Science.Chemistry.Materials_science']
2478,Lisbon,['subject.Geography.European_Geography']
2479,List_of_African_countries,['subject.Geography.African_Geography']
2480,List_of_Archbishops_of_Canterbury,['subject.Religion.Religious_movements_traditions_and_organizations']
2481,List_of_Asian_countries,['subject.Geography.Geography_of_Asia']
2482,List_of_Canadian_provinces_and_territories_by_area,['subject.Geography.North_American_Geography']
2483,List_of_European_Union_member_states_by_accession,"['subject.Geography.European_Geography', 'subject.History.Recent_History']"
2484,List_of_European_countries,['subject.Geography.European_Geography']
2485,List_of_French_monarchs,['subject.People.Historical_figures']
2486,List_of_North_American_countries,['subject.Geography.North_American_Geography']
2487,List_of_Oceanian_countries,['subject.Geography.Geography_of_Oceania_Australasia']
2488,List_of_Prime_Ministers_of_the_United_Kingdom,['subject.History.British_History']
2489,List_of_South_American_countries,['subject.Geography.Central_and_South_American_Geography']
2490,List_of_Test_cricket_triple_centuries,['subject.Everyday_life.Sports']
2491,List_of_U.S._states_by_date_of_statehood,['subject.Geography.North_American_Geography']
2492,List_of_animal_welfare_groups,['subject.Citizenship.Animal_and_Human_Rights']
2493,List_of_areas_in_the_National_Park_System_of_the_United_States,['subject.Geography.North_American_Geography']
2494,List_of_circulating_currencies,['subject.Business_Studies.Currency']
2495,List_of_countries,['subject.Geography.General_Geography']
2496,List_of_countries_by_system_of_government,['subject.Citizenship.Politics_and_government']
2497,List_of_elements_by_name,"['subject.Science.Chemistry.Chemical_elements', 'subject.Science.Chemistry.General_Chemistry']"
2498,List_of_essential_oils,['subject.Everyday_life.Food_and_agriculture']
2499,List_of_lakes,['subject.Geography.General_Geography']
2500,List_of_members_of_the_Commonwealth_of_Nations_by_date_joined,"['subject.History.British_History.British_History_Post_1900', 'subject.History.Recent_History']"
2501,List_of_minerals,['subject.Geography.Mineralogy']
2502,List_of_monarchs_in_the_British_Isles,['subject.People.Monarchs_of_Great_Britain']
2503,List_of_particles,['subject.Science.Physics.General_Physics']
2504,List_of_popes,['subject.People.Religious_figures_and_leaders']
2505,List_of_rivers_by_length,['subject.Geography.General_Geography']
2506,List_of_sovereign_states,['subject.Geography.General_Geography']
2507,List_of_universities_in_the_United_Kingdom,['subject.Citizenship.Education']
2508,List_of_vegetable_oils,['subject.Everyday_life.Food_and_agriculture']
2509,List_of_world's_largest_lakes,['subject.Geography.General_Geography']
2510,Literacy,['subject.Citizenship.Education']
2511,Literature,['subject.Language_and_literature.General_Literature']
2512,Lithium,['subject.Science.Chemistry.Chemical_elements']
2513,Lithium_aluminium_hydride,['subject.Science.Chemistry.Chemical_compounds']
2514,Lithuania,"['subject.Countries', 'subject.Geography.European_Geography.European_Countries']"
2515,Little_Women,['subject.Language_and_literature.Novels']
2516,Liverpool,['subject.Geography.Geography_of_Great_Britain']
2517,Liverpool_F.C.,['subject.Everyday_life.Sports_teams']
2518,Liverpool_and_Manchester_Railway,['subject.Design_and_Technology.Railway_transport']
2519,Llandudno,['subject.Geography.Geography_of_Great_Britain']
2520,Llywelyn_the_Great,"['subject.History.British_History.British_History_1500_and_before_including_Roman_Britain', 'subject.People.Historical_figures']"
2521,Local_community,['subject.Citizenship.Politics_and_government']
2522,Local_government_in_the_United_Kingdom,['subject.Citizenship.Politics_and_government']
2523,Loch,['subject.Geography.Geology_and_geophysics']
2524,Loch_Ness,['subject.Geography.Geography_of_Great_Britain']
2525,Logba_language,['subject.Language_and_literature.Languages']
2526,Logic,['subject.Religion.Philosophy']
2527,Logistics,['subject.Business_Studies.Business']
2528,Lomé,['subject.Geography.African_Geography']
2529,London,['subject.Geography.Geography_of_Great_Britain']
2530,London_Bridge,['subject.Design_and_Technology.Architecture']
